_id,main_subj,tree_subj_ids,tree_subjs,hadith_ids,url
3f160daad58b246c0fcf0f9787b5e544,إنما الأعمال بالنيات وإنما لكل امرئ ما نوى,"['1528c519f4e5ea76e89cf07cfe624744', '2d94aaec1af3d87bb4816e796b386a54', '3913d022573b89948a5d22ed82543c63', '7d9f1c5ae5365240ce70ea15cab71b2f', 'eaabe0f3ff6907f261a5722440c6e0ab', '0e086141e888f5653c5da5e40aa09239', 'dca0b5a8f0f7be2ea666db614d18f7c4', 'd993533837450277235874d515cb5920', '0929753ee8c9b4da31b81fd1ba268013', '10bbdb4ef4c4971b39f36ff53bedacac', '944bd3c8451bf17de194408ba72dd832', 'a8dee13c3ef0c8e11cf6dba8c3afc2a6', '9ff10c743223958c571d377ab1cccc76', '064963ba9dd79dd73598101e148236ec', '2a90ee14f3c740749738470224aabc72']","['نية الوضوء', 'النية في الغسل', 'النية في التيمم', 'من أركان الصلاة النية', 'الإحرام مع النية', 'تقسيم النية بحسب المؤاخذة الأخروية', 'إخلاص النية في الجهاد', 'الإخلاص في النية', 'النية في الصيام', 'اليمين المعقودة', 'طلاق المجنون', 'طلاق المكره', 'طلاق النائم', 'طلاق الساهي', 'طلاق المخطئ']",['bukhari-00001'],https://www.islamweb.net/ar/library/maktaba/nindex.php?page=treesubj&link=32_269_323_1525_3393_28324_24770_28276_2424_16473_11775_11766_11772_11770_11773
59775815873f7bcf1ad5af8739ba4e5a,أحيانا يأتيني مثل صلصلة الجرس وهو أشده علي فيفصم عني وقد وعيت عنه ما قال,"['cf8263dc232975240439e6b660dec8ed', 'a28e7161f1888384e1f03a9d1982e108', 'c0a4a3f73b333f00bea15c9164f4b50c']","['سماع النبي أصوات الملائكة', 'ما يلاقيه النبي من شدة الوحي', 'لقاء جبريل في بدء الوحي']",['bukhari-00002'],https://www.islamweb.net/ar/library/maktaba/nindex.php?page=treesubj&link=30599_30603_29758
a18885477030fbd0e51d68bac3b442a4,اقرأ قال ما أنا بقارئ قال فأخذني فغطني حتى بلغ مني الجهد ثم أرسلني فقال اقرأ قلت ما أنا بقارئ,"['def658b952465a726192ace6e1295d43', '3d71f1390b6c5cd632f4593594591d1d', '9b4551ee3f17d7b35cf87678193cc426', 'cf8263dc232975240439e6b660dec8ed', '9c986ff3fedf940440da7b142ad57592', 'a28e7161f1888384e1f03a9d1982e108', '4c3a3735330a4a90239139f8ed4a4e82', 'a53db833526d6b12cbc446ce7618783c', 'e9c60dc37f04553255d1f7097faa9ce1', '2f83be6ceb6335d01320da884b875002', '7a78906e4e4583d683f7a4c318f7d0dc', 'b819e58529c8b58a298f351a2538e07e', 'c4c947787b36fb0e6e97450f4eff639b', 'd272a5f11839f867546dcf11a25fe210', '765f1048fd6bb5a3b1b9e79b577a9383', 'f19ec8c16ddec97c29235236cbb980e5', 'eeabd53e11f219a972fbe57d6c21e9c2', 'b9ca46165be11232ffdc172a3cd94a43', '7296309039ed1742df36db85634b06f9', '35cc6d2ef02a9083f52ef0b2f3facd84', '348a48fc741512612ce85634fa30144f', '8b8440fb63fdb7b50371ed0239bf98b4', 'c0a4a3f73b333f00bea15c9164f4b50c']","['فضل التعلم', 'رؤيا النبي الصادقة', 'تحنث النبي في غار حراء', 'سماع النبي أصوات الملائكة', 'انقطاع الوحي', 'ما يلاقيه النبي من شدة الوحي', 'نزول القرآن', 'تعرض الأنبياء للبلاء', 'الصراع بين الحق والباطل', 'مناقب ورقة بن نوفل', 'حسن أخلاق النبي', 'كرم النبي', 'صلة النبي للرحم', 'نزول سورة المدثر', 'إكرام الضيف', 'الرؤيا الصادقة جزء من النبوة', 'الرؤيا الصالحة من الله', 'صدق الرؤيا من علامات صدق الرائي', 'قول خديجة للنبي بعد البعثة', 'الحلف بالله تعالى', 'مهمة جبريل ووظيفته', 'فضل صلة الرحم', 'لقاء جبريل في بدء الوحي']",['bukhari-00004'],https://www.islamweb.net/ar/library/maktaba/nindex.php?page=treesubj&link=18468_30597_30598_30599_30602_30603_28860_31788_32025_31724_30961_30970_30978_32321_24549_29813_24396_29850_31362_16359_29752_18043_29758
56c2d89a04bc5114bda8b55df4707276,يعالج من التنزيل شدة وكان مما يحرك شفتيه فقال ابن عباس فأنا أحركهما لكم كما كان رسول الله صلى الله عليه وسلم يحركهما,"['a28e7161f1888384e1f03a9d1982e108', '387ff557ccda93e3ce5ac79cae41bccb', 'dd400ab2d96eba12da837986090880de', 'd8d5de39e098c39407a01659299ef4f2']","['ما يلاقيه النبي من شدة الوحي', 'من آداب التلاوة التباكي والتخشع', 'معارضة جبريل والنبي بالقرآن', 'علم ابن عباس']",['bukhari-00005'],https://www.islamweb.net/ar/library/maktaba/nindex.php?page=treesubj&link=30603_18650_29762_31465
c07b17af68c3043bfa8d6134402102ad,أجود الناس وكان أجود ما يكون في رمضان حين يلقاه جبريل,"['e4fe3ace7c48a7954ff46f8f96d219e0', 'dd400ab2d96eba12da837986090880de', 'b819e58529c8b58a298f351a2538e07e', '7b3c024e70bb23feb111895c2d13b0da', 'bad17c28b589f056294d4b42e56eb75b']","['تعاهد القرآن الكريم', 'معارضة جبريل والنبي بالقرآن', 'كرم النبي', 'جود النبي في رمضان', 'ملاقاة جبريل في رمضان']","['bukhari-00006', 'bukhari-03048']",https://www.islamweb.net/ar/library/maktaba/nindex.php?page=treesubj&link=18628_29762_30970_32968_29760
72432cde58788a33dc67238f48d0e4e0,بسم الله الرحمن الرحيم [ ص: 9 ] من محمد عبد الله ورسوله إلى هرقل عظيم الروم سلام على من اتبع الهدى أما بعد فإني أدعوك بدعاية الإسلام أسلم تسلم,"['51dbdbfbe894509e00f4cda855f9e631', '6948f6313988dfe9f6e87f27da4db4ee', 'c6bd1cc84893e204e8bf6ebc6aff3529', 'dd047fff22b3327e5ebf4013ed876249', '8b6ab362d4cd387439cc7669c033a54c', '47f5e2ea29284668329c612dffafd00b', 'e9c60dc37f04553255d1f7097faa9ce1', 'e02840b9c22e1a91d93d9a3e6a58f243', '63e35e7beccaff7790acf8f25ad9e1bd', 'e385b2d15ea82d5c4dc123d9fc5b7387', '62ed970cbe444872b8fd0cb64c4f7d82', 'a8ac0f8075a7cc405232446830bc5030', 'b819e58529c8b58a298f351a2538e07e', '72d94d119340a6bdf0e268403a45427f', '26adbf312f457ca8be81b15fa3ddaf07', 'ac2a6d44d7c87d3da47f39ee610a5c02', '242842bc97ac9f9f4b5b544758471920', '5dc6b7ac8c32cbb8477365191062aeaf', '1fcc45ab5d354f0e8decef67977d4eb1', 'e331b5bc3dbaac9deac59ed192c22eee', '9a16a485ae4105b507901e7bb4dffc15', '91668125a5ffc383feb0e6037f727880', '2f527a8d26ca888ea36ae925bbfe0976', '8350f39bf0d9acf271ae7bcca41731d0', 'fd8ad1b2e1960be901b33413f28cdf3d', '35cc6d2ef02a9083f52ef0b2f3facd84', '8b8440fb63fdb7b50371ed0239bf98b4', '69193e78b9750766d706c123cebb7e6c']","['تعليم المسلم أهل الكتاب', 'الأنبياء صفوة البشر', 'فضل نسب النبي', 'غزوات النبي', 'من آداب المتعلم كتابة العلم', 'أتباع الأنبياء', 'الصراع بين الحق والباطل', 'قرابة النبي لبطون قريش', 'اضطهاد المسلمين', 'كتاب النبي إلى هرقل', 'الوفاء بالعهود والوعود', 'عفاف النبي', 'كرم النبي', 'أمانة النبي', 'صدق النبي', 'وفاء النبي', 'تقوى النبي', 'تفسير سورة آل عمران', 'من أمهات محاسن الأخلاق العفة', 'صلاة فرض عين', 'حكم عقد الهدنة', 'الكف عن أهل الهدنة', 'مهادنة النبي للمشركين', 'المؤمن في حماية الله', 'الأنبياء على لسان أقوامهم', 'الحلف بالله تعالى', 'فضل صلة الرحم', 'حكم الختان']",['bukhari-00007'],https://www.islamweb.net/ar/library/maktaba/nindex.php?page=treesubj&link=32100_30173_30595_29308_28379_31784_32025_30591_29279_30942_30945_30962_30970_30979_30983_30987_30988_28974_19513_846_8949_23814_33466_29676_31781_16359_18043_738
67c68e288be99628fbabcb7854aeaa6d,بني الإسلام على خمس,"['ee838cdc75fe10ad6c94ee87e9ae49bf', 'c63fae37ffb4aedd199a30bd5775d2f5', 'c2c79ed1b7252d8528d0831d09e294ec', 'f160272f0f8615a7a36c47f344bfadc0']","['فضل الصلاة', 'دعائم الإسلام', 'أركان الإسلام', 'ما يثبت به عقد الإسلام (كيفية الدخول في الإسلام)']",['bukhari-00008'],https://www.islamweb.net/ar/library/maktaba/nindex.php?page=treesubj&link=24589_30472_28633_28635
841d98d4dae5f8e13fb4a048f7e87003,الإيمان بضع وستون شعبة والحياء شعبة من الإيمان,"['ad0ae4b5be8ebad912121cebc2be758d', 'ef494fae22b2f3ce91003f361121589c', '2748ee2168e6b3cfcb00c93c7f1bd128']","['فضل الحياء', 'تفاضل الناس بأعمالهم', 'التفاضل بين الأعمال']",['bukhari-00009'],https://www.islamweb.net/ar/library/maktaba/nindex.php?page=treesubj&link=19527_30483_30502
882a9ce1c57104f3569d4467545647cb,المسلم من سلم المسلمون من لسانه ويده,"['d40a8c333357b7223d1d5470bd1db846', '3c6690434252c30c6a0418688856f038', '5f907b3fdd3bcd50b892ffe96d56b91c', '078078506efe75791dc59e89be185811', '8c7d065b4891056c9b4888713642cc5d', 'dc1355c2b8f94660475a59e4c3be9162', '71abe3c47aa7cb4b02d08154030b4ba9', '161f169f3532030cbcf61f4bd0a07495', '66577a567212addd3d49f95b640d3ffa', '618548131d4398c1382ae0fbf88798eb']","['مذهب السلف في معنى الإيمان وحقيقته', 'كف الأذى عن عامة المسلمين', 'وجوب اتباع الكتاب والسنة والحض عليه', 'حكم الظلم', 'التنابز بالألقاب', 'كف الأذى من آداب الطريق', 'خصائص الإسلام', 'يسر الإسلام', 'حكم الحسد', 'فحش وسب المسلم']",['bukhari-00010'],https://www.islamweb.net/ar/library/maktaba/nindex.php?page=treesubj&link=28647_18301_28328_25986_32520_18446_28640_28642_18739_19092
7eb6abff10915a1aca338cf81494255d,من سلم المسلمون من لسانه ويده,"['d40a8c333357b7223d1d5470bd1db846', '3c6690434252c30c6a0418688856f038', 'ef494fae22b2f3ce91003f361121589c', '078078506efe75791dc59e89be185811', 'ca9e26cfd0d4fbb8b5f49acf491ddd7e', '8c7d065b4891056c9b4888713642cc5d', 'dc1355c2b8f94660475a59e4c3be9162', '71abe3c47aa7cb4b02d08154030b4ba9', '6882f2619f7b08af05f0547315e2dd8e', '2748ee2168e6b3cfcb00c93c7f1bd128', 'c92b3ef777cfc2ccadc0509d195639d8', '66577a567212addd3d49f95b640d3ffa', '618548131d4398c1382ae0fbf88798eb']","['مذهب السلف في معنى الإيمان وحقيقته', 'كف الأذى عن عامة المسلمين', 'تفاضل الناس بأعمالهم', 'حكم الظلم', 'شهادة الزور', 'التنابز بالألقاب', 'كف الأذى من آداب الطريق', 'خصائص الإسلام', 'أفضل أعمال الإسلام', 'التفاضل بين الأعمال', 'من أسباب الحسد التعزز', 'حكم الحسد', 'فحش وسب المسلم']",['bukhari-00011'],https://www.islamweb.net/ar/library/maktaba/nindex.php?page=treesubj&link=28647_18301_30483_25986_16207_32520_18446_28640_30476_30502_18719_18739_19092
